Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
CHC,49,64,27,399,113,1023.2,6.30,3.45,1.06,.295,70.6%,,,,4.47,,4.46,,8.1,1994,
MIL,53,62,23,367,115,1036.0,5.01,3.66,1.10,.283,69.6%,,,,4.62,,4.91,,7.8,1994,
TEX,52,62,26,415,114,1023.0,6.01,3.47,1.38,.306,65.5%,,,,5.45,,5.04,,6.9,1994,
CAL,47,68,21,372,115,1027.0,5.98,3.82,1.31,.307,68.3%,,,,5.43,,5.11,,6.9,1994,
OAK,51,63,23,422,114,1003.1,6.57,4.57,1.15,.282,69.5%,,,,4.82,,4.96,,6.8,1994,
COL,53,64,28,446,117,1031.0,6.14,3.91,1.05,.320,69.0%,,,,5.17,,4.73,,6.4,1994,
SFG,55,60,33,402,115,1025.1,5.75,3.27,1.07,.280,73.7%,,,,3.99,,4.60,,6.1,1994,
PIT,53,61,24,399,114,1005.2,5.82,3.31,1.05,.304,69.0%,,,,4.65,,4.58,,5.8,1994,
MIN,53,60,29,385,113,1005.0,5.39,3.47,1.37,.313,66.2%,,,,5.69,,5.16,,5.7,1994,
DET,53,62,20,361,115,1017.2,4.95,3.97,1.31,.292,67.0%,,,,5.39,,5.32,,4.9,1994,
FLA,51,64,30,415,115,1014.2,5.76,3.80,1.06,.293,70.2%,,,,4.51,,4.77,,4.1,1994,
STL,53,61,29,445,115,1018.0,5.59,3.14,1.18,.308,68.1%,,,,5.17,,4.76,,3.0,1994,
ATL,90,54,34,483,144,1291.2,7.57,3.04,0.75,.287,74.0%,,,,3.44,,3.58,,24.2,1995,
CLE,100,44,50,479,144,1301.0,6.41,3.08,0.93,.284,73.2%,,,,3.83,,4.16,,20.1,1995,
BOS,86,58,39,514,144,1292.2,6.18,3.31,0.88,.298,69.1%,,,,4.41,,4.22,,18.4,1995,
SEA,79,66,39,469,145,1289.1,7.46,4.13,1.04,.307,71.8%,,,,4.52,,4.43,,17.8,1995,
LAD,78,66,37,499,144,1295.0,7.37,3.21,0.87,.280,71.3%,,,,3.67,,3.88,,16.4,1995,
BAL,71,73,29,480,144,1267.0,6.61,3.72,1.06,.271,71.6%,,,,4.31,,4.49,,16.2,1995,
CAL,78,67,42,513,145,1284.1,6.31,3.41,1.14,.288,70.9%,,,,4.53,,4.59,,16.0,1995,
HOU,76,68,32,538,144,1320.1,7.20,3.14,0.80,.308,70.1%,,,,4.06,,3.82,,14.9,1995,
CIN,85,59,38,473,144,1289.1,6.30,2.96,0.91,.288,71.5%,,,,4.03,,4.08,,14.6,1995,
MON,66,78,42,540,144,1283.2,6.66,2.92,0.90,.294,71.0%,,,,4.11,,4.03,,14.6,1995,
NYM,69,75,36,442,144,1291.0,6.28,2.80,0.93,.290,72.1%,,,,3.88,,4.06,,14.4,1995,
TEX,74,70,34,454,144,1285.0,5.87,3.60,1.06,.302,70.5%,,,,4.66,,4.62,,14.1,1995,
KCR,70,74,37,452,144,1288.0,5.33,3.51,0.99,.287,70.4%,,,,4.49,,4.61,,14.1,1995,
COL,77,67,43,600,144,1288.1,6.22,3.58,1.12,.313,68.5%,,,,4.97,,4.62,,14.0,1995,
NYY,79,65,35,447,145,1284.2,6.36,3.75,1.11,.286,71.5%,,,,4.56,,4.62,,13.3,1995,
SDP,70,74,35,481,144,1284.2,7.33,3.59,0.99,.291,70.5%,,,,4.15,,4.22,,12.3,1995,
TOR,56,88,22,409,144,1292.2,6.22,4.55,1.01,.296,68.8%,,,,4.88,,4.81,,11.7,1995,
OAK,67,77,34,502,144,1273.0,6.29,3.93,1.08,.295,68.1%,,,,4.97,,4.70,,11.1,1995,
PIT,58,86,29,535,144,1275.1,6.15,3.37,0.92,.313,68.5%,,,,4.71,,4.32,,11.0,1995,
PHI,69,75,41,485,144,1290.1,6.84,3.75,0.93,.286,71.4%,,,,4.21,,4.31,,10.5,1995,
FLA,67,76,29,543,143,1286.0,6.96,3.93,0.97,.298,72.1%,,,,4.28,,4.38,,9.7,1995,
STL,62,81,38,520,143,1265.2,5.99,3.16,0.96,.292,70.4%,,,,4.10,,4.31,,9.3,1995,
CHC,73,71,45,558,144,1301.0,6.41,3.58,1.12,.286,72.9%,,,,4.13,,4.57,,8.8,1995,
CHW,68,76,36,517,145,1284.2,6.25,4.32,1.15,.301,70.7%,,,,4.85,,4.91,,8.1,1995,
DET,60,84,38,510,144,1275.0,5.15,3.78,1.20,.312,67.3%,,,,5.50,,5.06,,7.8,1995,
MIL,65,79,31,465,144,1286.0,4.89,4.22,1.02,.296,70.5%,,,,4.82,,5.01,,7.4,1995,
MIN,56,88,27,480,144,1272.2,5.59,3.77,1.49,.299,65.5%,,,,5.77,,5.35,,3.5,1995,
SFG,67,77,34,525,144,1293.2,5.57,3.51,1.20,.289,68.4%,,,,4.86,,4.90,,2.2,1995,
ATL,96,66,46,570,162,1469.0,7.63,2.76,0.74,.291,71.3%,,,,3.54,,3.50,,29.5,1996,
NYY,92,70,52,573,162,1440.0,7.12,3.81,0.89,.305,69.6%,,,,4.65,,4.25,,23.0,1996,
CLE,99,62,46,543,161,1452.1,6.40,3.00,1.07,.300,70.9%,,,,4.34,,4.38,,22.3,1996,
KCR,75,86,35,483,161,1450.0,5.75,2.86,1.09,.299,70.6%,,,,4.55,,4.54,,21.3,1996,
SDP,91,71,47,573,162,1489.0,7.22,3.06,0.83,.285,72.1%,,,,3.72,,3.88,,20.7,1996,
LAD,90,72,50,545,162,1466.1,7.44,3.28,0.77,.291,73.1%,,,,3.48,,3.80,,20.5,1996,
TEX,90,72,43,510,163,1449.1,6.06,3.61,1.04,.305,71.2%,,,,4.65,,4.63,,19.4,1996,
CHW,85,77,43,553,162,1461.0,6.40,3.79,1.07,.298,71.6%,,,,4.53,,4.64,,17.8,1996,
MON,88,74,43,595,162,1441.1,7.53,3.01,0.95,.284,72.9%,,,,3.78,,3.99,,17.6,1996,
FLA,80,82,41,579,162,1443.0,6.55,3.73,0.70,.292,71.1%,,,,3.95,,4.10,,17.2,1996,
TOR,74,88,35,465,162,1445.2,6.43,3.80,1.16,.293,70.6%,,,,4.58,,4.76,,16.7,1996,
BAL,88,74,44,541,163,1468.2,6.42,3.66,1.28,.305,68.6%,,,,5.15,,4.89,,15.3,1996,
BOS,85,77,37,571,162,1458.0,7.19,4.46,1.14,.315,68.8%,,,,5.00,,4.81,,15.1,1996,
PHI,67,95,42,549,162,1423.1,6.60,3.22,1.01,.297,68.3%,,,,4.48,,4.31,,13.5,1996,
STL,88,74,43,575,162,1452.1,6.51,3.34,1.07,.275,72.9%,,,,3.98,,4.46,,11.9,1996,
CIN,81,81,52,587,162,1443.0,6.79,3.69,1.04,.292,70.8%,,,,4.33,,4.48,,11.5,1996,
NYM,71,91,41,497,162,1440.0,6.24,3.33,0.99,.298,70.3%,,,,4.22,,4.42,,11.3,1996,
HOU,82,80,35,532,162,1447.0,7.23,3.35,0.96,.313,70.2%,,,,4.38,,4.21,,11.3,1996,
SEA,85,76,34,564,161,1431.2,6.29,3.80,1.36,.301,69.2%,,,,5.21,,5.13,,11.0,1996,
CAL,70,91,38,544,161,1439.0,6.58,4.14,1.37,.299,67.9%,,,,5.31,,5.24,,11.0,1996,
PIT,73,89,37,584,162,1453.1,6.47,2.97,1.13,.310,69.2%,,,,4.64,,4.46,,10.9,1996,
CHC,76,86,34,600,162,1456.1,6.35,3.37,1.14,.283,71.3%,,,,4.36,,4.64,,9.4,1996,
COL,83,79,34,609,162,1422.2,5.90,3.95,1.25,.306,65.9%,,,,5.60,,5.13,,9.2,1996,
OAK,78,84,34,580,162,1456.1,5.46,3.98,1.27,.304,70.1%,,,,5.20,,5.22,,8.8,1996,
MIN,78,84,31,549,162,1439.2,6.00,3.63,1.46,.292,69.1%,,,,5.30,,5.24,,8.6,1996,
MIL,80,82,42,546,162,1447.1,5.26,3.95,1.32,.290,69.4%,,,,5.15,,5.35,,8.4,1996,
SFG,68,94,35,587,162,1442.1,6.22,3.56,1.21,.295,68.7%,,,,4.72,,4.86,,4.7,1996,
DET,53,109,22,588,162,1432.2,6.01,4.93,1.51,.313,65.6%,,,,6.38,,5.83,,2.9,1996,
ATL,101,61,37,536,162,1465.2,7.34,2.76,0.68,.283,74.1%,,,,3.18,,3.45,,28.5,1997,
NYY,96,66,51,530,162,1467.2,7.14,3.26,0.88,.300,73.5%,,,,3.84,,3.98,,23.5,1997,
TOR,76,86,34,498,162,1442.2,7.17,3.10,1.04,.299,73.8%,,,,3.93,,4.13,,21.9,1997,
STL,73,89,39,561,162,1455.2,6.99,3.31,0.77,.297,71.0%,,,,3.88,,3.89,,20.6,1997,
BAL,98,64,59,562,162,1461.0,7.02,3.47,1.01,.287,74.5%,,,,3.91,,4.23,,20.2,1997,
HOU,84,78,37,516,162,1459.0,7.02,3.15,0.83,.287,73.1%,,,,3.67,,3.90,,16.5,1997,
DET,79,83,42,579,162,1445.2,6.11,3.44,1.11,.289,70.3%,,,,4.56,,4.59,,15.9,1997,
SEA,90,72,38,554,162,1447.2,7.50,3.72,1.19,.304,70.2%,,,,4.79,,4.54,,15.2,1997,
FLA,92,70,39,566,162,1446.2,7.39,3.98,0.81,.291,74.1%,,,,3.83,,4.10,,15.2,1997,
TEX,77,85,33,544,162,1429.2,5.82,3.41,1.06,.308,69.8%,,,,4.70,,4.57,,15.0,1997,
LAD,88,74,45,574,162,1459.1,7.60,3.37,1.01,.276,75.3%,,,,3.63,,4.09,,14.7,1997,
MON,78,84,37,552,162,1447.0,7.08,3.46,0.93,.284,70.1%,,,,4.14,,4.16,,14.6,1997,
PIT,79,83,41,613,162,1436.0,6.77,3.51,0.90,.306,70.9%,,,,4.28,,4.20,,14.3,1997,
MIL,78,83,44,528,161,1427.1,6.41,3.42,1.12,.287,72.1%,,,,4.23,,4.57,,14.2,1997,
KCR,67,94,29,554,161,1443.0,5.99,3.31,1.16,.296,69.8%,,,,4.71,,4.67,,13.8,1997,
BOS,78,84,40,579,162,1451.2,6.12,3.79,0.92,.307,68.2%,,,,4.85,,4.49,,12.9,1997,
CIN,76,86,49,585,162,1449.0,7.20,3.47,1.07,.287,71.0%,,,,4.42,,4.38,,12.7,1997,
PHI,68,94,35,571,162,1420.1,7.66,3.90,1.08,.304,68.0%,,,,4.87,,4.40,,12.2,1997,
NYM,88,74,49,538,162,1459.1,6.06,3.11,0.99,.286,72.7%,,,,3.95,,4.32,,11.8,1997,
CLE,86,75,39,589,161,1425.2,6.54,3.63,1.14,.305,70.5%,,,,4.73,,4.62,,11.8,1997,
MIN,68,94,30,552,162,1434.0,5.70,3.11,1.17,.305,67.8%,,,,5.02,,4.64,,11.7,1997,
CHW,80,81,52,550,161,1422.1,6.08,3.64,1.11,.294,68.5%,,,,4.74,,4.64,,11.1,1997,
ANA,84,78,39,562,162,1454.2,6.50,3.74,1.25,.293,72.8%,,,,4.52,,4.83,,10.8,1997,
COL,83,79,38,588,162,1432.2,5.47,3.56,1.23,.318,69.2%,,,,5.25,,5.00,,10.4,1997,
SFG,90,72,45,643,162,1446.0,6.50,3.60,1.00,.299,69.8%,,,,4.43,,4.38,,10.3,1997,
CHC,68,94,37,603,162,1429.0,6.75,3.72,1.17,.292,72.6%,,,,4.44,,4.62,,9.3,1997,
SDP,76,86,43,588,162,1450.0,6.57,3.70,1.07,.310,67.4%,,,,4.98,,4.55,,7.1,1997,
OAK,65,97,38,642,162,1445.1,5.93,4.00,1.23,.324,69.0%,,,,5.49,,5.03,,4.8,1997,
ATL,106,56,45,516,162,1438.2,7.71,2.92,0.73,.285,74.4%,,,,3.25,,3.53,,27.0,1998,
SDP,98,64,59,531,162,1454.2,7.53,3.10,0.86,.293,74.7%,,,,3.63,,3.84,,21.4,1998,
NYY,114,48,48,496,162,1456.2,6.67,2.88,0.96,.277,73.8%,,,,3.82,,4.15,,21.2,1998,
TOR,88,74,47,547,163,1465.0,7.09,3.61,1.04,.290,71.1%,,,,4.29,,4.36,,18.5,1998,
HOU,102,60,44,501,162,1471.1,7.26,2.84,0.90,.295,76.1%,,,,3.50,,3.86,,18.4,1998,
TEX,88,74,46,564,162,1431.1,6.25,3.26,1.03,.315,67.2%,,,,5.00,,4.42,,17.9,1998,
PIT,69,93,41,558,163,1449.0,6.91,3.29,0.91,.292,71.4%,,,,3.91,,4.08,,17.5,1998,
LAD,83,79,47,504,162,1447.1,7.33,3.65,0.84,.284,72.6%,,,,3.81,,4.06,,17.5,1998,
BAL,79,83,37,564,162,1431.1,6.70,3.36,1.06,.304,70.3%,,,,4.74,,4.40,,16.2,1998,
SEA,76,85,31,529,161,1424.1,7.30,3.34,1.24,.308,68.5%,,,,4.95,,4.54,,15.8,1998,
COL,77,85,36,568,162,1432.2,5.97,3.53,1.09,.311,68.9%,,,,5.00,,4.70,,15.8,1998,
ANA,85,77,52,577,162,1444.0,6.80,3.93,1.02,.300,71.3%,,,,4.49,,4.51,,15.7,1998,
CLE,89,73,47,585,162,1460.0,6.39,3.47,1.05,.303,72.2%,,,,4.45,,4.54,,15.6,1998,
BOS,92,70,53,594,162,1436.0,6.42,3.16,1.05,.282,71.4%,,,,4.19,,4.40,,15.5,1998,
CHC,90,73,56,612,163,1477.1,7.35,3.50,1.10,.302,71.6%,,,,4.50,,4.35,,14.7,1998,
NYM,88,74,46,561,162,1458.0,6.97,3.28,0.94,.287,75.6%,,,,3.77,,4.18,,14.6,1998,
MIN,70,92,42,594,162,1447.2,5.92,2.84,1.12,.308,69.7%,,,,4.76,,4.48,,14.3,1998,
DET,65,97,32,608,162,1446.1,5.89,3.70,1.15,.300,68.7%,,,,4.93,,4.81,,12.8,1998,
CIN,77,85,42,528,162,1441.1,6.86,3.58,1.06,.285,70.8%,,,,4.44,,4.45,,12.8,1998,
STL,83,79,44,591,163,1469.2,5.95,3.42,0.92,.292,70.2%,,,,4.32,,4.40,,12.5,1998,
MON,65,97,39,605,162,1427.0,6.41,3.36,0.98,.291,69.0%,,,,4.39,,4.38,,12.2,1998,
SFG,89,74,44,596,163,1477.0,6.64,3.42,1.04,.287,72.7%,,,,4.19,,4.42,,12.0,1998,
OAK,74,88,39,570,162,1434.0,5.79,3.32,1.12,.298,67.4%,,,,4.83,,4.70,,11.9,1998,
PHI,75,87,32,547,162,1463.0,7.23,3.35,1.16,.294,69.9%,,,,4.64,,4.43,,11.8,1998,
KCR,72,89,46,549,161,1436.1,6.26,3.56,1.23,.307,67.9%,,,,5.16,,4.83,,11.3,1998,
TBD,63,99,28,572,162,1443.0,6.29,4.01,1.07,.287,73.2%,,,,4.35,,4.79,,10.8,1998,
ARI,65,97,37,530,162,1432.1,5.71,3.07,1.18,.282,68.3%,,,,4.64,,4.69,,8.9,1998,
MIL,74,88,39,577,162,1451.0,6.59,3.41,1.17,.302,70.9%,,,,4.63,,4.62,,8.5,1998,
CHW,80,82,42,568,163,1438.2,5.70,3.63,1.32,.294,66.7%,,,,5.24,,5.10,,5.5,1998,
FLA,54,108,24,582,162,1449.2,6.31,4.44,1.13,.313,68.7%,,,,5.20,,4.97,,1.5,1998,
ATL,103,59,45,556,162,1471.0,7.32,3.10,0.87,.289,73.3%,,,,3.65,,3.85,,27.8,1999,
HOU,97,65,48,501,162,1458.2,7.43,2.95,0.79,.312,72.8%,,,,3.84,,3.69,,26.7,1999,
BOS,94,68,50,574,162,1436.2,7.09,2.94,1.00,.287,70.9%,,,,4.00,,4.10,,23.5,1999,
ARI,100,62,42,544,162,1467.1,7.35,3.33,1.08,.284,75.2%,,,,3.77,,4.27,,21.7,1999,
NYY,98,64,50,521,162,1439.2,6.95,3.63,0.99,.288,72.0%,,,,4.16,,4.35,,21.2,1999,
OAK,87,75,48,568,162,1438.1,6.05,3.56,1.00,.302,67.9%,,,,4.76,,4.53,,18.6,1999,
TEX,95,67,47,601,162,1436.1,6.13,3.19,1.17,.313,68.7%,,,,5.07,,4.60,,18.4,1999,
MON,68,94,44,594,162,1434.1,6.54,3.59,0.95,.301,66.7%,,,,4.69,,4.38,,17.9,1999,
NYM,97,66,49,602,163,1456.2,7.24,3.81,1.03,.285,73.6%,,,,4.27,,4.39,,15.9,1999,
CLE,97,65,46,628,162,1450.1,6.95,3.93,1.22,.299,69.5%,,,,4.91,,4.78,,15.5,1999,
PIT,78,83,34,586,161,1433.1,6.80,3.97,1.00,.296,70.7%,,,,4.35,,4.51,,14.9,1999,
STL,75,86,38,615,161,1445.1,6.38,4.15,1.00,.301,69.7%,,,,4.76,,4.68,,14.0,1999,
TOR,84,78,39,539,162,1439.0,6.31,3.60,1.19,.306,69.4%,,,,4.93,,4.77,,13.9,1999,
CIN,96,67,55,544,163,1462.0,6.65,3.92,1.17,.262,74.2%,,,,3.99,,4.74,,13.7,1999,
ANA,70,92,37,562,162,1431.1,5.51,3.92,1.11,.286,69.6%,,,,4.79,,4.94,,13.3,1999,
TBD,69,93,45,615,162,1433.0,6.63,4.36,1.08,.320,68.6%,,,,5.06,,4.84,,12.9,1999,
LAD,77,85,37,561,162,1452.2,6.67,3.68,1.19,.284,71.6%,,,,4.45,,4.72,,12.6,1999,
DET,69,92,33,581,161,1420.2,6.18,3.69,1.32,.297,68.8%,,,,5.22,,5.05,,12.4,1999,
MIN,63,97,34,578,161,1423.1,5.86,3.08,1.32,.303,69.5%,,,,5.03,,4.82,,12.2,1999,
SDP,74,88,43,564,162,1420.1,6.83,3.35,1.22,.292,70.8%,,,,4.47,,4.57,,12.0,1999,
BAL,78,84,33,555,162,1435.0,6.16,4.06,1.24,.290,71.5%,,,,4.77,,5.01,,11.7,1999,
CHW,75,86,39,571,162,1438.1,6.06,3.73,1.31,.303,70.8%,,,,4.92,,5.06,,11.3,1999,
SFG,86,76,42,612,162,1456.1,6.65,4.05,1.20,.290,70.9%,,,,4.71,,4.84,,9.8,1999,
CHC,67,95,32,602,162,1430.2,6.16,3.33,1.39,.304,67.3%,,,,5.27,,4.94,,9.5,1999,
SEA,79,83,40,508,162,1433.2,6.15,4.29,1.20,.313,69.6%,,,,5.25,,5.08,,9.1,1999,
FLA,64,98,33,614,162,1435.2,5.91,4.11,1.07,.304,69.8%,,,,4.90,,4.85,,9.1,1999,
COL,72,90,33,582,162,1429.0,6.50,4.64,1.49,.325,67.8%,,,,6.03,,5.52,,8.4,1999,
KCR,64,97,29,577,161,1420.2,5.26,4.07,1.28,.303,68.6%,,,,5.35,,5.31,,7.4,1999,
MIL,74,87,40,614,161,1442.2,6.16,3.84,1.33,.305,70.4%,,,,5.08,,5.07,,7.0,1999,
PHI,77,85,32,603,162,1438.1,6.44,3.92,1.33,.290,70.8%,,,,4.93,,5.05,,6.9,1999,
ATL,95,67,53,538,162,1440.1,6.83,3.02,1.03,.288,71.9%,,,,4.06,,4.19,,22.3,2000,
ARI,85,77,38,552,162,1443.2,7.61,3.12,1.18,.297,71.6%,,,,4.36,,4.28,,22.1,2000,
BOS,85,77,46,587,162,1452.2,6.95,3.09,1.07,.288,71.2%,,,,4.24,,4.29,,20.5,2000,
CLE,90,72,34,624,162,1442.1,7.57,4.16,1.08,.312,71.0%,,,,4.84,,4.48,,20.4,2000,
NYM,94,68,49,573,162,1450.0,7.22,3.56,1.02,.286,71.8%,,,,4.16,,4.31,,19.1,2000,
NYY,87,74,40,543,161,1424.1,6.57,3.65,1.12,.290,69.2%,,,,4.76,,4.61,,17.5,2000,
DET,79,83,44,591,162,1443.1,6.10,3.09,1.10,.306,69.2%,,,,4.73,,4.50,,17.3,2000,
OAK,91,70,43,542,161,1435.1,6.04,3.86,0.99,.301,70.1%,,,,4.58,,4.61,,17.1,2000,
LAD,86,76,36,533,162,1445.0,7.19,3.74,1.10,.283,73.3%,,,,4.10,,4.52,,16.5,2000,
CHW,95,67,43,628,162,1450.1,6.44,3.81,1.21,.296,70.3%,,,,4.67,,4.83,,16.5,2000,
SFG,97,65,47,546,162,1444.1,6.70,3.88,0.94,.297,71.9%,,,,4.21,,4.38,,16.4,2000,
COL,82,80,33,641,162,1430.0,6.30,3.70,1.39,.302,69.4%,,,,5.29,,5.13,,16.4,2000,
SEA,91,71,44,545,162,1441.2,6.23,3.96,1.04,.288,70.9%,,,,4.53,,4.65,,15.5,2000,
STL,95,67,37,548,162,1433.2,6.91,3.80,1.23,.285,72.4%,,,,4.40,,4.77,,15.0,2000,
TOR,83,79,37,550,162,1437.1,6.12,3.51,1.22,.310,67.7%,,,,5.17,,4.84,,14.1,2000,
MON,67,95,39,614,162,1424.2,6.39,3.66,1.14,.309,66.9%,,,,5.14,,4.71,,13.8,2000,
CIN,85,77,42,550,163,1456.1,6.27,4.07,1.17,.282,73.5%,,,,4.33,,4.88,,13.8,2000,
TBD,69,92,38,562,161,1431.1,6.00,3.35,1.24,.299,69.9%,,,,4.86,,4.85,,13.6,2000,
MIN,69,93,35,574,162,1432.2,6.55,3.24,1.33,.314,69.1%,,,,5.16,,4.76,,13.3,2000,
PIT,69,93,27,628,162,1449.0,6.65,4.42,1.01,.308,68.5%,,,,4.94,,4.72,,13.2,2000,
FLA,79,82,48,590,161,1429.2,6.62,4.09,1.06,.298,71.0%,,,,4.59,,4.65,,13.1,2000,
BAL,74,88,33,558,162,1433.1,6.39,4.18,1.27,.298,67.9%,,,,5.37,,5.01,,12.0,2000,
TEX,71,91,39,577,162,1429.0,5.78,4.16,1.27,.314,67.5%,,,,5.52,,5.21,,11.0,2000,
PHI,65,97,34,575,162,1438.2,7.03,4.00,1.26,.292,70.5%,,,,4.79,,4.81,,10.9,2000,
MIL,73,89,29,596,163,1466.1,5.94,4.47,1.07,.291,71.6%,,,,4.63,,4.98,,10.3,2000,
SDP,76,86,46,605,162,1459.1,6.61,4.00,1.18,.282,71.1%,,,,4.52,,4.84,,9.5,2000,
HOU,72,90,30,572,162,1437.2,6.66,3.74,1.46,.303,68.0%,,,,5.42,,5.14,,8.7,2000,
CHC,65,97,39,583,162,1454.2,7.07,4.07,1.43,.292,69.5%,,,,5.26,,5.11,,8.1,2000,
KCR,77,85,29,491,162,1439.1,5.80,4.33,1.49,.296,70.0%,,,,5.48,,5.54,,6.7,2000,
ANA,82,80,46,603,162,1448.0,5.26,4.11,1.42,.282,71.3%,,,,5.02,,5.46,,4.9,2000,
NYY,95,65,57,523,161,1451.1,7.85,2.88,0.98,.300,71.5%,,,,4.04,,3.79,,26.1,2001,
OAK,102,60,44,578,162,1463.1,6.87,2.71,0.94,.282,74.0%,,,,3.59,,3.88,,23.9,2001,
CHC,88,74,41,614,162,1437.0,8.42,3.44,1.03,.294,72.7%,,,,4.03,,3.91,,22.2,2001,
ARI,92,70,34,583,162,1459.2,8.00,2.84,1.20,.284,74.7%,,,,3.88,,4.08,,21.8,2001,
ATL,88,74,41,573,162,1447.1,7.05,3.10,0.95,.283,74.5%,,,,3.59,,3.96,,21.1,2001,
CLE,91,71,42,645,162,1446.2,7.58,3.56,0.92,.315,68.1%,,,,4.65,,3.99,,21.1,2001,
BOS,82,79,48,585,161,1448.0,7.83,3.38,0.91,.299,70.7%,,,,4.18,,3.94,,19.1,2001,
SEA,116,46,56,553,162,1465.0,6.46,2.86,0.98,.260,74.8%,,,,3.54,,4.12,,18.9,2001,
TOR,80,82,41,633,162,1462.2,6.41,3.02,1.02,.306,72.4%,,,,4.28,,4.25,,18.0,2001,
NYM,82,80,48,559,162,1445.2,7.41,2.73,1.16,.290,72.4%,,,,4.08,,4.07,,17.2,2001,
SFG,90,72,47,601,162,1463.1,6.64,3.56,0.89,.290,70.5%,,,,4.19,,4.12,,16.6,2001,
LAD,86,76,46,570,162,1450.2,7.52,3.25,1.14,.286,71.8%,,,,4.25,,4.26,,16.4,2001,
HOU,93,69,48,567,162,1454.2,7.60,3.01,1.37,.291,73.0%,,,,4.39,,4.48,,14.4,2001,
MON,68,94,28,653,162,1431.1,6.94,3.30,1.19,.302,70.1%,,,,4.69,,4.46,,14.0,2001,
ANA,75,87,43,546,162,1437.2,5.93,3.29,1.05,.286,72.6%,,,,4.20,,4.48,,14.0,2001,
PHI,86,76,47,635,162,1445.1,6.76,3.28,1.06,.287,72.9%,,,,4.16,,4.31,,13.6,2001,
CHW,83,79,51,568,162,1433.1,5.78,3.14,1.14,.285,69.9%,,,,4.55,,4.64,,13.4,2001,
FLA,76,86,32,592,162,1438.0,7.00,3.86,0.95,.292,71.6%,,,,4.32,,4.29,,13.2,2001,
STL,93,69,38,646,162,1435.1,6.79,3.30,1.23,.281,76.1%,,,,3.96,,4.57,,12.2,2001,
MIN,85,77,45,564,162,1441.1,6.03,2.78,1.20,.287,71.2%,,,,4.51,,4.48,,11.7,2001,
COL,73,89,26,636,162,1430.0,6.66,3.76,1.50,.295,69.1%,,,,5.29,,5.13,,10.4,2001,
CIN,66,96,35,623,162,1442.2,5.88,3.21,1.24,.297,69.2%,,,,4.78,,4.70,,10.1,2001,
BAL,63,98,31,554,162,1432.1,5.89,3.32,1.22,.289,69.6%,,,,4.70,,4.76,,9.9,2001,
PIT,62,100,36,572,162,1416.1,5.77,3.49,1.06,.293,66.9%,,,,5.05,,4.63,,9.0,2001,
SDP,79,83,46,584,162,1440.2,6.80,2.97,1.37,.293,71.0%,,,,4.52,,4.62,,8.1,2001,
KCR,65,97,30,558,162,1440.0,5.69,3.60,1.31,.293,69.9%,,,,4.87,,5.00,,7.6,2001,
MIL,68,94,28,651,162,1436.1,6.62,4.18,1.23,.289,72.3%,,,,4.65,,4.90,,6.7,2001,
DET,66,96,34,553,162,1429.1,5.41,3.48,1.13,.307,68.8%,,,,5.01,,4.80,,6.7,2001,
TBD,62,100,30,532,162,1423.2,6.51,3.60,1.31,.296,68.0%,,,,4.96,,4.85,,6.5,2001,
TEX,73,89,37,572,162,1438.1,5.95,3.73,1.39,.312,67.4%,,,,5.71,,5.11,,5.8,2001,
NYY,103,58,53,495,161,1452.0,7.04,2.50,0.89,.293,70.7%,42.8%,9.0%,,3.89,,3.62,3.86,28.2,2002,
ARI,98,64,40,584,162,1446.2,8.11,2.62,1.06,.289,72.7%,43.6%,11.5%,,3.93,,3.67,3.56,26.4,2002,
OAK,103,59,48,570,162,1452.0,6.33,2.94,0.84,.281,73.2%,46.6%,9.0%,,3.69,,3.87,4.09,23.1,2002,
BOS,93,69,51,500,162,1446.0,7.20,2.68,0.91,.282,72.1%,45.2%,9.7%,,3.75,,3.74,3.87,22.6,2002,
ATL,101,59,57,630,161,1467.1,6.49,3.40,0.75,.271,77.2%,45.7%,8.5%,,3.13,,3.83,4.11,19.8,2002,
HOU,84,78,43,642,162,1445.0,7.59,3.40,0.94,.300,73.3%,44.6%,10.5%,,4.00,,3.88,3.91,19.3,2002,
SEA,93,69,43,505,162,1445.1,6.62,2.75,1.11,.284,72.9%,40.2%,10.3%,,4.07,,4.11,4.16,18.3,2002,
SFG,95,66,43,579,162,1437.1,6.21,3.27,0.73,.281,74.0%,42.3%,7.3%,,3.55,,3.80,4.27,18.1,2002,
CHC,67,95,23,552,162,1441.1,8.32,3.78,1.04,.296,70.9%,42.2%,11.4%,,4.30,,4.00,3.91,17.5,2002,
MON,83,79,39,599,162,1453.0,6.74,3.15,1.02,.295,72.9%,47.2%,11.5%,,3.98,,4.08,3.97,16.6,2002,
LAD,92,70,56,585,162,1457.2,6.99,3.43,1.02,.270,75.5%,42.5%,10.7%,,3.69,,4.12,4.11,16.4,2002,
MIN,94,67,47,596,161,1444.2,6.39,2.73,1.15,.286,73.0%,38.2%,10.0%,,4.12,,4.20,4.31,16.2,2002,
ANA,99,63,54,562,162,1452.1,6.19,3.15,1.05,.269,75.6%,41.0%,9.9%,,3.69,,4.25,4.36,16.1,2002,
