Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,yearID,teamID
HOU,2277,6147,79,605,570,125,8.2%,16.7%,.102,.285,.244,.309,.347,.297,,88,-2.0,-89.1,40.0,15.5,1991,
KCR,1863,6244,117,727,689,119,8.4%,15.5%,.129,.299,.264,.328,.394,.324,,99,-3.3,-11.3,-48.9,14.7,1991,
ATL,2326,6182,141,749,704,165,9.1%,14.7%,.135,.284,.258,.328,.393,.324,,99,2.8,-4.4,-62.3,14.3,1991,
NYM,2141,6077,117,640,605,153,9.5%,13.0%,.121,.264,.244,.317,.365,.308,,94,2.8,-41.8,-30.0,13.3,1991,
PHI,2215,6133,111,629,590,92,8.0%,16.7%,.117,.275,.241,.303,.358,.297,,85,6.4,-100.4,19.0,12.2,1991,
SEA,1849,6237,126,702,665,97,9.4%,13.0%,.128,.276,.255,.328,.383,.319,,95,1.8,-31.5,-53.4,12.1,1991,
NYY,1705,6140,147,674,630,109,7.7%,14.0%,.131,.277,.256,.316,.387,.316,,94,7.4,-37.6,-58.0,10.6,1991,
CAL,1626,6050,115,653,607,94,7.4%,15.3%,.118,.287,.255,.314,.374,.311,,91,-3.5,-71.0,-44.0,8.2,1991,
CLE,1720,6070,79,576,546,84,7.4%,14.6%,.096,.288,.254,.313,.350,.301,,85,-6.3,-115.8,-32.8,4.7,1991,
OAK,1801,6275,142,745,693,143,11.3%,13.2%,.129,.279,.258,.346,.386,.334,,113,4.3,97.2,-11.9,30.5,1992,
TOR,1645,6224,163,780,737,129,9.0%,15.0%,.151,.288,.263,.333,.414,.337,,108,9.2,62.6,13.3,29.1,1992,
DET,1671,6310,182,791,746,66,10.7%,16.7%,.151,.284,.256,.337,.407,.337,,108,-5.7,49.8,8.0,27.4,1992,
CHW,1724,6267,110,738,686,160,9.9%,12.5%,.122,.283,.261,.336,.383,.326,,104,8.5,37.2,17.8,26.9,1992,
BAL,1731,6292,148,705,680,89,10.3%,13.1%,.138,.279,.259,.340,.398,.334,,107,-2.3,43.9,-5.6,25.4,1992,
ATL,2251,6143,138,682,641,126,8.0%,15.0%,.134,.280,.254,.316,.388,.316,,95,0.8,-32.3,79.2,25.2,1992,
PIT,2253,6269,106,693,656,110,9.1%,13.9%,.126,.283,.255,.324,.381,.316,,100,0.2,-3.6,43.0,25.1,1992,
MIN,1816,6267,104,747,701,123,8.4%,13.3%,.115,.306,.277,.341,.391,.331,,103,-5.4,14.9,11.8,23.9,1992,
SDP,2152,6074,135,617,576,69,7.5%,14.2%,.131,.279,.255,.313,.386,.314,,95,-7.5,-42.4,75.2,23.5,1992,
STL,2090,6230,94,631,599,208,7.9%,16.0%,.113,.301,.262,.323,.375,.316,,99,-5.0,-13.8,34.9,23.0,1992,
NYY,1666,6262,163,733,703,78,8.6%,14.4%,.144,.284,.261,.328,.406,.330,,107,-0.2,47.5,-34.2,22.8,1992,
PHI,2060,6172,118,686,639,127,8.2%,17.2%,.124,.292,.253,.320,.377,.316,,98,11.9,-0.8,14.7,22.3,1992,
MON,2193,6120,102,648,601,196,7.6%,15.9%,.117,.287,.252,.313,.370,.309,,94,13.6,-25.7,36.9,21.6,1992,
HOU,2332,6163,96,608,582,139,8.2%,16.6%,.113,.285,.246,.313,.359,.305,,94,5.7,-34.6,38.6,20.9,1992,
CIN,2191,6162,99,660,606,125,9.1%,14.4%,.122,.291,.260,.328,.382,.319,,98,-1.4,-13.3,10.5,20.5,1992,
MIL,1644,6183,82,740,683,256,8.3%,12.6%,.107,.296,.268,.330,.375,.319,,98,5.7,-6.2,-5.9,19.5,1992,
CLE,1723,6201,127,674,637,144,7.2%,14.3%,.117,.294,.266,.323,.383,.319,,98,1.6,-15.1,-0.6,19.2,1992,
SFG,2280,6070,105,574,532,112,7.2%,17.6%,.111,.283,.244,.302,.355,.297,,88,-3.5,-82.6,39.6,15.5,1992,
SEA,1795,6180,149,679,638,100,7.7%,13.6%,.139,.285,.263,.323,.402,.326,,102,-2.6,8.9,-65.0,15.3,1992,
TEX,1858,6238,159,682,647,81,8.8%,16.6%,.142,.280,.250,.321,.393,.324,,101,-2.2,7.9,-70.9,14.7,1992,
CHC,2242,6156,104,593,566,77,6.8%,13.3%,.110,.279,.254,.307,.364,.303,,86,-5.6,-98.0,42.0,14.4,1992,
NYM,2308,6061,93,599,564,129,9.4%,15.8%,.107,.268,.235,.310,.342,.298,,86,4.4,-90.5,-11.0,9.6,1992,
KCR,1691,6084,75,610,568,131,7.2%,12.2%,.108,.282,.256,.315,.364,.309,,88,-2.4,-86.1,-35.0,7.6,1992,
LAD,2296,6038,72,548,499,142,8.3%,14.9%,.090,.284,.248,.313,.339,.298,,90,-3.0,-72.2,-65.0,6.1,1992,
BOS,1741,6187,84,599,567,44,9.6%,14.0%,.101,.276,.246,.321,.347,.306,,83,-11.2,-126.6,-40.1,3.0,1992,
CAL,1783,5917,88,579,537,160,7.0%,14.9%,.094,.275,.243,.301,.338,.291,,77,-8.0,-158.5,-8.9,1.8,1992,
SFG,2229,6271,168,808,759,120,8.2%,14.8%,.151,.303,.276,.340,.427,.337,,107,-1.7,55.6,75.0,35.3,1993,
NYY,1724,6359,178,821,793,39,9.9%,14.3%,.156,.304,.279,.353,.435,.350,,114,-5.2,101.6,22.8,32.7,1993,
ATL,2086,6234,169,767,712,125,9.0%,15.2%,.146,.287,.262,.331,.408,.328,,94,6.4,-36.7,121.1,30.5,1993,
HOU,1993,6136,138,716,656,103,8.1%,14.8%,.142,.296,.267,.330,.409,.327,,101,-3.1,4.0,72.4,29.4,1993,
TOR,1603,6319,159,847,796,170,9.3%,13.6%,.157,.303,.279,.350,.436,.347,,109,15.1,88.1,-3.7,28.6,1993,
BAL,1687,6310,157,786,744,73,10.4%,14.7%,.146,.293,.267,.346,.413,.338,,104,-6.4,24.3,52.8,27.8,1993,
PHI,2195,6527,156,877,811,91,10.2%,16.1%,.153,.309,.274,.351,.426,.344,,106,6.4,53.1,-7.4,27.7,1993,
CHW,1693,6253,162,776,731,106,9.7%,13.3%,.146,.284,.265,.338,.411,.333,,104,-1.1,26.8,41.3,26.7,1993,
CHC,2268,6217,161,738,706,100,7.2%,14.8%,.143,.297,.270,.325,.414,.326,,95,3.4,-35.8,82.3,26.6,1993,
DET,1701,6505,178,899,853,104,11.8%,17.2%,.159,.313,.275,.362,.434,.354,,114,-3.8,104.8,-54.8,25.7,1993,
STL,2288,6279,118,758,724,153,9.4%,14.0%,.123,.302,.272,.341,.395,.329,,99,2.1,-2.7,23.5,24.3,1993,
SEA,1784,6288,161,734,681,91,9.9%,14.3%,.146,.283,.260,.339,.406,.330,,99,-8.7,-17.3,28.0,21.0,1993,
TEX,1759,6166,181,835,780,113,7.8%,16.0%,.164,.293,.267,.329,.431,.334,,103,-4.0,17.2,-12.0,20.1,1993,
PIT,2160,6269,110,707,664,92,8.6%,15.5%,.126,.304,.267,.335,.393,.324,,95,-3.1,-46.1,17.4,19.3,1993,
MON,2314,6233,122,732,682,228,8.7%,13.8%,.129,.282,.257,.326,.386,.316,,90,23.6,-53.2,16.8,18.4,1993,
CLE,1781,6267,141,790,747,159,7.8%,13.5%,.133,.299,.275,.335,.409,.329,,99,10.3,1.3,-21.4,17.9,1993,
BOS,1832,6196,114,686,644,73,8.2%,14.1%,.131,.293,.264,.330,.395,.322,,90,0.1,-76.6,50.8,17.1,1993,
OAK,1706,6295,158,715,679,131,9.9%,16.6%,.140,.285,.254,.330,.394,.323,,101,3.0,9.1,-60.4,14.9,1993,
CIN,2223,6164,137,722,669,142,7.9%,16.6%,.132,.299,.264,.324,.396,.319,,91,5.2,-65.3,-17.3,13.5,1993,
KCR,1723,6101,125,675,641,100,7.0%,15.3%,.134,.295,.263,.320,.397,.317,,89,-10.0,-89.6,10.2,11.4,1993,
NYM,2146,6057,158,672,632,79,7.4%,14.5%,.142,.267,.248,.305,.390,.308,,85,-3.8,-117.5,17.3,11.4,1993,
MIL,1795,6222,125,733,688,138,8.9%,15.0%,.120,.288,.258,.328,.378,.316,,89,-9.8,-94.0,5.6,10.9,1993,
LAD,2208,6261,130,675,639,126,7.9%,15.0%,.122,.291,.261,.321,.383,.314,,92,1.2,-58.4,-59.1,10.4,1993,
COL,2245,6073,142,758,704,146,6.4%,15.5%,.149,.304,.273,.323,.422,.328,,84,-7.1,-124.8,10.9,10.0,1993,
FLA,2128,6127,94,581,542,117,8.1%,17.2%,.099,.289,.248,.314,.346,.298,,79,1.5,-161.8,13.1,6.7,1993,
CAL,1706,6089,114,684,644,169,9.3%,15.3%,.120,.293,.260,.331,.380,.319,,92,-6.5,-66.5,-59.6,6.7,1993,
MIN,1742,6209,121,693,642,83,7.9%,13.7%,.121,.291,.264,.327,.385,.319,,90,-6.6,-79.2,-63.3,5.5,1993,
SDP,2316,6137,153,679,633,92,7.2%,17.0%,.137,.283,.252,.312,.389,.311,,86,2.6,-103.5,-93.8,1.9,1993,
HOU,1504,4500,120,602,573,124,8.8%,16.0%,.167,.311,.278,.347,.445,.343,,109,5.5,60.3,58.4,26.2,1994,
NYY,1192,4611,139,670,632,55,11.5%,14.3%,.172,.315,.290,.374,.462,.366,,118,-6.5,101.5,-16.0,23.4,1994,
CHW,1205,4556,121,633,602,77,10.9%,12.5%,.156,.307,.287,.366,.444,.353,,112,3.7,77.7,0.0,22.6,1994,
CIN,1585,4512,124,609,569,119,8.6%,16.4%,.164,.320,.286,.350,.449,.346,,107,1.4,40.3,31.8,21.6,1994,
BAL,1127,4386,139,589,557,69,10.0%,14.9%,.166,.293,.272,.349,.438,.345,,102,8.2,22.2,41.4,20.8,1994,
MON,1576,4514,108,585,542,137,8.4%,14.8%,.158,.307,.278,.343,.435,.339,,99,11.7,5.9,54.2,20.6,1994,
CLE,1189,4493,167,679,647,131,8.5%,14.0%,.194,.306,.290,.351,.484,.359,,111,5.1,71.2,-19.8,19.7,1994,
STL,1514,4450,108,535,506,76,9.8%,15.4%,.151,.292,.263,.339,.414,.329,,97,-5.0,-25.9,63.6,18.3,1994,
ATL,1531,4349,137,542,510,48,8.7%,15.4%,.167,.290,.267,.333,.434,.333,,97,-3.9,-21.5,59.5,17.9,1994,
SFG,1528,4364,123,504,472,114,8.3%,16.5%,.153,.275,.249,.318,.402,.314,,88,5.3,-61.9,64.7,14.6,1994,
FLA,1561,4387,94,468,451,65,8.0%,17.0%,.130,.305,.266,.330,.396,.320,,90,1.7,-57.7,49.5,13.6,1994,
SEA,1204,4361,153,569,549,48,8.5%,15.0%,.182,.287,.269,.335,.451,.339,,99,0.5,-4.7,-7.1,13.3,1994,
DET,1205,4574,161,652,622,46,11.4%,19.6%,.189,.301,.265,.352,.454,.351,,106,-5.2,32.4,-51.8,13.1,1994,
MIN,1201,4409,103,594,556,94,8.1%,14.4%,.150,.304,.276,.340,.427,.336,,95,5.7,-21.4,-5.4,12.0,1994,
OAK,1290,4396,113,549,515,91,9.5%,15.6%,.140,.286,.260,.330,.399,.322,,92,1.1,-44.3,12.2,11.6,1994,
MIL,1224,4494,99,547,510,59,9.3%,15.1%,.145,.292,.263,.335,.408,.326,,91,-4.4,-60.8,20.8,11.2,1994,
CHC,1606,4386,109,500,464,69,8.3%,17.1%,.145,.294,.259,.325,.404,.320,,89,-9.5,-72.3,35.7,10.8,1994,
LAD,1467,4371,115,532,505,74,8.4%,15.7%,.144,.300,.270,.333,.414,.327,,100,-1.4,0.8,-38.9,10.3,1994,
PIT,1554,4301,80,466,435,53,8.1%,16.9%,.125,.298,.259,.322,.384,.311,,82,-0.3,-99.8,52.9,9.6,1994,
TEX,1156,4531,124,613,582,82,9.6%,16.1%,.157,.313,.280,.353,.436,.345,,100,1.1,2.3,-56.5,9.6,1994,
KCR,1144,4391,100,574,538,140,8.6%,15.9%,.150,.302,.269,.335,.419,.330,,92,0.7,-43.0,-24.3,8.0,1994,
BOS,1202,4446,120,552,523,81,9.1%,16.3%,.157,.293,.263,.334,.421,.329,,89,-0.4,-64.8,-5.7,8.0,1994,
CAL,1223,4443,120,543,518,65,9.0%,16.1%,.145,.294,.264,.334,.409,.327,,91,-10.7,-65.6,-5.7,7.9,1994,
TOR,1162,4462,115,566,534,79,8.7%,15.5%,.155,.297,.269,.336,.424,.331,,94,4.5,-30.2,-42.5,7.6,1994,
PHI,1515,4436,80,521,484,67,8.9%,16.0%,.128,.299,.262,.332,.390,.318,,87,3.0,-69.5,-3.9,7.3,1994,
NYM,1496,4348,117,506,477,25,7.7%,18.6%,.144,.285,.250,.316,.394,.310,,86,-6.3,-85.9,13.5,7.2,1994,
COL,1604,4493,125,573,540,91,8.4%,16.9%,.165,.308,.274,.337,.439,.337,,87,-5.1,-81.3,-5.8,6.2,1994,
SDP,1609,4519,92,479,445,79,7.1%,16.9%,.126,.316,.275,.330,.401,.319,,90,-0.4,-61.1,-63.2,2.4,1994,
BOS,1522,5716,175,791,754,99,9.8%,16.1%,.175,.310,.280,.357,.455,.356,,107,-0.8,53.2,59.8,30.2,1995,
CIN,2042,5575,161,747,694,190,9.3%,17.0%,.169,.303,.270,.342,.440,.342,,104,7.0,37.0,63.3,28.3,1995,
CLE,1527,5686,207,840,803,132,9.5%,13.5%,.188,.306,.291,.361,.479,.366,,115,1.8,116.2,-24.1,27.8,1995,
SFG,1992,5603,152,652,610,138,8.4%,18.9%,.151,.292,.253,.323,.404,.320,,93,6.3,-45.0,112.3,25.4,1995,
CAL,1551,5690,186,801,761,57,9.9%,15.6%,.171,.302,.277,.352,.448,.351,,106,-7.0,36.2,2.4,22.7,1995,
SEA,1569,5671,182,796,767,110,9.7%,15.4%,.173,.300,.276,.350,.448,.349,,106,3.2,45.3,-7.5,22.5,1995,
HOU,2092,5857,109,747,694,176,9.7%,16.9%,.124,.320,.275,.353,.399,.334,,104,7.5,39.2,-9.5,22.2,1995,
NYY,1519,5699,122,749,709,50,11.0%,14.9%,.144,.308,.276,.357,.420,.345,,106,-4.6,39.4,-9.3,21.9,1995,
CHW,1570,5770,146,755,712,110,10.0%,13.3%,.151,.302,.280,.354,.431,.345,,107,3.5,55.3,-35.5,21.0,1995,
CHC,1996,5543,158,693,648,105,7.9%,17.2%,.165,.298,.265,.327,.430,.331,,96,3.6,-26.7,51.3,20.8,1995,
BAL,1566,5531,173,704,668,92,10.4%,14.5%,.166,.280,.262,.342,.428,.340,,99,-2.6,-9.6,23.8,19.9,1995,
FLA,1892,5569,144,673,636,131,9.3%,16.4%,.144,.293,.262,.335,.406,.328,,95,1.7,-30.6,41.3,19.5,1995,
LAD,2032,5544,140,634,593,127,8.4%,18.5%,.136,.305,.264,.329,.400,.322,,98,4.4,-11.9,11.0,18.2,1995,
ATL,1932,5464,168,645,618,73,9.5%,17.1%,.160,.276,.250,.326,.409,.324,,92,-5.4,-63.3,56.8,17.6,1995,
PHI,1911,5613,94,615,576,72,8.9%,15.7%,.122,.300,.262,.332,.384,.319,,88,2.1,-80.6,41.6,14.9,1995,
NYM,1887,5581,125,657,617,58,8.0%,17.8%,.133,.309,.267,.330,.400,.322,,94,-6.8,-52.5,12.9,14.6,1995,
MIN,1563,5588,120,703,662,105,8.4%,16.4%,.139,.319,.279,.346,.419,.339,,97,-5.3,-26.7,-16.0,14.5,1995,
OAK,1577,5617,169,730,694,112,10.1%,16.2%,.157,.289,.264,.341,.421,.337,,101,0.9,8.1,-55.6,13.9,1995,
STL,1940,5349,107,563,533,79,8.2%,17.2%,.127,.283,.247,.314,.374,.306,,83,-5.5,-121.9,71.5,13.0,1995,
TEX,1548,5566,138,691,651,90,9.5%,15.8%,.144,.296,.265,.338,.410,.331,,91,-3.9,-68.6,8.0,12.7,1995,
COL,2118,5647,200,785,749,125,8.6%,16.7%,.189,.311,.282,.350,.471,.357,,91,-2.1,-65.8,1.8,12.4,1995,
MIL,1612,5631,128,740,700,105,8.9%,14.2%,.143,.292,.266,.336,.409,.331,,91,2.2,-60.9,-14.0,11.5,1995,
KCR,1720,5528,119,629,578,120,8.6%,15.4%,.136,.291,.260,.328,.396,.321,,86,-0.4,-100.2,22.9,11.0,1995,
MON,2022,5452,118,621,572,120,7.3%,16.5%,.136,.294,.259,.320,.394,.315,,85,1.4,-101.6,28.9,11.0,1995,
SDP,2016,5527,116,668,618,124,8.1%,15.8%,.125,.307,.272,.334,.397,.324,,95,3.4,-30.4,-53.0,10.0,1995,
PIT,2018,5501,125,629,587,84,8.3%,17.7%,.137,.298,.259,.323,.396,.317,,86,-8.5,-106.9,-9.3,6.9,1995,
TOR,1477,5650,140,642,613,75,8.7%,16.0%,.149,.290,.260,.328,.409,.326,,91,6.7,-60.1,-75.1,5.5,1995,
DET,1566,5535,159,654,619,73,10.0%,17.8%,.157,.278,.247,.327,.404,.324,,89,-2.4,-82.7,-72.6,3.2,1995,
SEA,1736,6518,245,993,954,90,10.3%,16.1%,.197,.312,.287,.366,.484,.367,,112,-1.2,109.5,33.1,37.1,1996,
CLE,1705,6486,218,952,904,160,10.3%,13.0%,.182,.309,.293,.369,.475,.367,,111,7.8,110.5,-35.0,30.2,1996,
TEX,1706,6494,221,928,890,83,10.2%,16.0%,.184,.311,.284,.358,.469,.358,,104,3.3,35.7,3.2,27.0,1996,
NYM,2235,6220,147,746,697,97,7.2%,17.2%,.143,.307,.270,.324,.412,.321,,94,-3.6,-50.7,120.2,25.2,1996,
ATL,2227,6293,197,773,735,83,8.4%,16.4%,.162,.297,.270,.333,.432,.333,,99,-4.2,-12.5,80.4,25.0,1996,
STL,2258,6177,142,759,711,149,8.0%,17.6%,.140,.307,.267,.330,.407,.322,,93,2.2,-55.0,121.8,24.8,1996,
CHW,1786,6497,195,898,860,105,10.8%,14.3%,.166,.303,.281,.360,.447,.352,,106,0.9,55.0,-40.5,24.5,1996,
BAL,1702,6494,257,949,914,77,9.9%,14.1%,.198,.284,.274,.350,.472,.355,,106,-4.2,52.2,-51.1,23.1,1996,
HOU,2177,6270,129,753,703,180,8.8%,16.9%,.135,.301,.262,.336,.397,.322,,98,6.1,-9.8,50.4,22.2,1996,
MIN,1769,6403,118,877,812,143,9.0%,15.0%,.137,.325,.288,.357,.425,.344,,97,3.1,-25.2,12.8,21.9,1996,
CHC,2332,6229,175,772,725,108,8.4%,17.5%,.150,.281,.251,.320,.401,.316,,88,-2.3,-99.3,130.6,21.7,1996,
FLA,2252,6194,150,688,650,99,8.9%,18.1%,.136,.296,.257,.329,.393,.318,,92,-2.4,-67.0,91.2,20.7,1996,
SDP,2181,6419,147,771,718,109,9.4%,15.8%,.137,.297,.265,.338,.402,.325,,101,-4.5,-0.1,17.4,20.3,1996,
MIL,1803,6434,178,894,845,101,9.7%,15.3%,.162,.308,.279,.353,.441,.348,,97,-3.1,-25.8,-13.2,19.4,1996,
SFG,2285,6316,153,752,707,113,9.7%,18.8%,.135,.295,.253,.331,.388,.317,,92,-2.8,-67.8,71.7,19.0,1996,
NYY,1735,6414,162,871,830,96,9.9%,14.2%,.148,.315,.288,.360,.436,.348,,103,-3.2,23.5,-66.6,18.6,1996,
OAK,1834,6402,243,861,823,58,10.0%,17.4%,.187,.290,.265,.344,.452,.347,,103,-5.7,20.4,-73.0,17.6,1996,
COL,2319,6333,221,961,909,201,8.3%,17.5%,.185,.321,.287,.355,.472,.358,,93,8.9,-45.4,35.7,17.6,1996,
BOS,1787,6545,209,928,882,91,9.8%,15.6%,.173,.311,.283,.359,.457,.356,,104,-3.3,31.5,-97.0,16.8,1996,
MON,2315,6171,148,741,696,108,8.0%,17.5%,.144,.300,.262,.327,.406,.321,,92,4.9,-59.2,44.8,16.7,1996,
CIN,2287,6213,191,778,733,171,9.7%,18.3%,.166,.289,.256,.331,.422,.329,,97,4.4,-21.7,2.0,16.1,1996,
CAL,1772,6320,192,762,727,53,8.3%,15.4%,.155,.303,.276,.339,.431,.337,,94,-8.5,-64.2,-27.8,13.9,1996,
LAD,2217,6185,150,703,661,124,8.3%,19.2%,.132,.294,.252,.316,.384,.307,,91,5.4,-68.2,11.5,12.6,1996,
PHI,2083,6171,132,650,604,117,8.7%,17.7%,.131,.295,.256,.325,.387,.314,,85,3.5,-110.4,39.3,11.3,1996,
TOR,1664,6295,177,766,712,116,8.4%,17.6%,.161,.293,.259,.331,.420,.331,,90,4.6,-79.8,-39.7,11.1,1996,
PIT,2279,6336,138,776,738,126,8.0%,15.6%,.141,.299,.266,.329,.407,.322,,90,1.7,-77.5,-3.6,10.6,1996,
KCR,1753,6229,123,746,689,195,8.5%,15.1%,.132,.299,.267,.332,.398,.322,,83,-0.8,-148.3,-19.7,6.4,1996,
DET,1760,6203,204,783,741,87,8.8%,20.4%,.165,.294,.256,.323,.420,.325,,86,-6.5,-130.6,-97.7,0.2,1996,
SEA,1911,6385,264,925,890,89,9.8%,17.4%,.204,.305,.280,.355,.485,.363,,116,1.0,133.6,-10.9,34.0,1997,
ATL,2208,6315,174,791,755,108,9.5%,18.4%,.156,.310,.270,.343,.426,.338,,101,-2.9,7.4,114.3,31.8,1997,
CLE,1917,6304,220,868,810,118,9.8%,15.1%,.181,.309,.286,.358,.467,.360,,113,-1.4,106.5,-8.1,31.3,1997,
HOU,2164,6363,133,777,720,171,9.9%,17.1%,.144,.298,.259,.344,.403,.330,,100,2.8,4.7,107.8,31.0,1997,
BOS,1875,6430,185,851,810,68,8.0%,16.2%,.172,.325,.291,.352,.463,.354,,109,-6.6,65.7,-0.7,28.5,1997,
SFG,2249,6296,172,784,746,121,10.2%,17.8%,.156,.292,.258,.337,.414,.329,,99,3.5,-3.9,82.5,27.5,1997,
BAL,2003,6340,196,812,780,63,9.2%,15.0%,.160,.290,.268,.341,.429,.338,,102,1.9,17.8,-4.3,23.2,1997,
NYM,2268,6248,153,777,741,97,8.8%,16.5%,.143,.294,.262,.332,.405,.325,,95,-12.1,-48.5,81.7,22.9,1997,
NYY,1773,6527,161,891,846,99,10.4%,14.6%,.150,.316,.286,.362,.436,.351,,111,-4.3,88.7,-83.6,22.8,1997,
FLA,2179,6300,136,740,703,115,10.9%,17.0%,.135,.298,.259,.346,.395,.329,,99,-1.5,-12.0,35.0,21.9,1997,
ANA,1879,6387,161,829,775,126,9.7%,14.9%,.144,.300,.272,.346,.416,.336,,100,-5.4,-8.6,4.6,21.6,1997,
STL,2187,6212,144,689,654,164,8.7%,19.2%,.141,.299,.255,.324,.396,.317,,87,7.4,-92.7,98.7,20.1,1997,
COL,2232,6338,239,923,869,137,8.9%,16.7%,.190,.316,.288,.357,.478,.363,,95,-0.1,-43.3,43.5,19.9,1997,
LAD,2171,6216,174,742,706,131,8.0%,17.4%,.150,.304,.268,.330,.418,.328,,100,-1.0,-0.5,4.4,19.7,1997,
KCR,1929,6295,158,747,711,130,8.9%,16.9%,.143,.299,.264,.333,.407,.327,,92,-2.0,-66.0,33.8,18.6,1997,
MON,2215,6131,172,691,659,75,6.9%,17.7%,.167,.290,.258,.316,.425,.323,,91,-4.4,-78.2,64.2,17.9,1997,
TEX,1921,6266,187,807,773,72,8.0%,17.8%,.164,.309,.274,.334,.438,.337,,95,-1.1,-42.2,-1.2,17.4,1997,
CHW,2014,6201,158,779,740,106,9.2%,14.5%,.144,.298,.273,.341,.417,.334,,100,-0.8,1.2,-43.1,17.2,1997,
MIL,2085,6097,135,681,643,103,8.1%,15.9%,.138,.291,.260,.325,.398,.319,,86,-2.7,-112.2,32.0,13.2,1997,
CHC,2353,6098,127,687,642,116,7.4%,16.4%,.133,.300,.263,.321,.396,.315,,83,-2.2,-137.5,76.6,13.2,1997,
MIN,1963,6267,132,772,730,151,7.9%,17.9%,.139,.313,.270,.333,.409,.327,,91,8.2,-67.9,-22.3,12.7,1997,
OAK,2045,6369,197,764,714,71,10.1%,18.5%,.163,.295,.260,.339,.423,.336,,101,-0.9,8.2,-107.8,12.0,1997,
SDP,2209,6373,152,795,761,140,9.5%,17.7%,.136,.312,.271,.342,.407,.331,,102,2.6,15.4,-94.2,11.9,1997,
CIN,2303,6153,142,651,612,190,8.4%,18.1%,.137,.292,.253,.321,.389,.314,,85,9.5,-110.9,23.9,10.7,1997,
PHI,2163,6130,116,668,622,92,8.5%,16.8%,.130,.293,.255,.322,.385,.313,,82,-5.3,-145.4,48.1,9.7,1997,
DET,1846,6190,176,784,743,161,9.3%,18.8%,.157,.296,.258,.332,.415,.329,,93,1.6,-53.2,-80.9,8.0,1997,
PIT,2211,6201,129,725,686,160,7.8%,18.7%,.142,.308,.262,.329,.404,.324,,89,10.9,-78.3,-51.3,6.5,1997,
TOR,1834,6109,147,654,627,134,8.0%,18.6%,.146,.280,.244,.310,.389,.308,,81,5.6,-146.0,-4.2,6.3,1997,
ATL,1971,6217,215,826,794,98,8.8%,17.1%,.181,.300,.272,.342,.453,.346,,108,0.8,61.7,124.6,37.6,1998,
NYY,1962,6444,207,965,907,153,10.1%,15.9%,.172,.317,.288,.364,.460,.360,,116,3.1,138.4,6.9,36.1,1998,
HOU,2125,6441,166,874,818,155,9.6%,17.4%,.156,.321,.280,.356,.436,.347,,113,8.7,112.1,44.5,35.2,1998,
SFG,2304,6484,161,845,800,102,10.5%,16.0%,.147,.308,.274,.353,.421,.340,,108,-1.4,62.2,52.7,31.2,1998,
BOS,2043,6302,205,876,827,72,8.6%,16.6%,.183,.310,.280,.348,.463,.352,,107,-2.7,54.8,44.2,31.1,1998,
STL,2305,6413,223,810,781,133,10.5%,18.4%,.183,.289,.258,.341,.441,.340,,104,8.7,39.8,47.7,28.3,1998,
TEX,1876,6401,201,940,894,82,9.3%,16.3%,.173,.321,.289,.357,.462,.357,,108,-4.1,60.8,-0.4,27.6,1998,
CLE,1852,6376,198,850,811,143,9.9%,16.6%,.176,.302,.272,.347,.448,.347,,103,2.0,29.1,20.9,26.5,1998,
SEA,1858,6331,234,859,823,115,8.8%,17.1%,.192,.302,.276,.345,.468,.353,,109,5.9,77.8,-30.5,26.0,1998,
BAL,2017,6304,214,817,783,86,9.4%,14.3%,.174,.291,.273,.347,.447,.347,,109,-3.8,66.0,-29.3,24.9,1998,
CHW,1891,6281,198,861,806,127,8.8%,14.6%,.172,.291,.271,.339,.444,.341,,103,5.3,30.6,-10.6,23.2,1998,
TOR,1875,6323,221,816,776,184,8.9%,17.9%,.182,.295,.266,.340,.448,.343,,102,1.6,20.6,-13.7,22.1,1998,
CHC,2283,6394,212,831,788,65,9.4%,19.1%,.169,.302,.264,.337,.433,.336,,100,-6.2,-5.1,26.0,21.7,1998,
CIN,2270,6269,138,750,723,95,9.7%,17.7%,.140,.303,.262,.337,.402,.326,,92,0.6,-63.1,52.5,18.3,1998,
NYM,2278,6257,136,706,671,62,9.1%,16.8%,.135,.295,.259,.330,.394,.318,,93,-7.7,-65.0,47.1,17.5,1998,
SDP,2282,6245,167,749,715,79,9.7%,17.2%,.155,.285,.253,.330,.409,.325,,99,-0.4,-7.6,-14.5,17.0,1998,
DET,1897,6243,165,722,691,122,7.3%,17.1%,.152,.297,.264,.323,.415,.324,,90,-2.6,-86.8,38.9,16.6,1998,
MIL,2277,6232,152,707,673,81,8.5%,16.7%,.136,.294,.260,.330,.396,.321,,91,-9.5,-83.0,55.2,16.5,1998,
PHI,2166,6300,126,713,672,97,8.1%,17.1%,.131,.303,.264,.326,.395,.317,,87,-0.3,-105.3,69.7,16.0,1998,
COL,2326,6277,183,826,791,67,7.5%,15.1%,.169,.321,.291,.347,.461,.351,,87,-7.1,-110.2,52.2,13.7,1998,
TBD,1982,6157,111,620,579,120,7.7%,18.0%,.123,.306,.261,.321,.385,.312,,83,-7.8,-147.4,71.3,13.6,1998,
MON,2319,6042,147,644,602,91,7.3%,17.5%,.145,.283,.249,.310,.394,.309,,83,-1.9,-134.4,71.3,12.5,1998,
